Name,Authors,Summary,Rating,Learners,Picture,Link,Category
"""Поколение Python"": курс для профессионалов","Тимур 🐍 Гуев, Поколение Python","Курс продолжает серию ""Поколение Python"" и рассказывает о дополнительных возможностях языка Python, а тренировочные задачи помогают закрепить каждую тему.",5.0,13700,https://cdn.stepik.net/media/cache/images/courses/82541/cover_cdCvLlR/54db64048e1535b877d09336aa7a49de.png,https://stepik.org/course/82541?search=7087465318,Языки программирования
"""Поколение Python"": ООП","Тимур 🐍 Гуев, Поколение Python","Курс продолжает серию ""Поколение Python"" и рассказывает о концепции объектно-ориентированного программирования на языке Python",4.9,6800,https://cdn.stepik.net/media/cache/images/courses/98974/cover_KxjTzJX/86e38f7f6d04d35c8611e8bca49d359e.png,https://stepik.org/course/98974?search=7087465319,Языки программирования
Асинхронность в Python. Asyncio,Александр Шибаев,"Асинхронное программирование на Python в теории и на практике от А до Я. Все что важно знать об асинхронном программировании и даже больше. 🏆 Курс от лауреата премии Stepik Awards 2024 в номинации ""Лучший платный курс"".",5.0,270,https://cdn.stepik.net/media/cache/images/courses/189436/cover_XMx7KNJ/36dcacaa442b4e63ff727a5f08303d48.png,https://stepik.org/course/189436?search=7087465320,Языки программирования
"""Поколение Python"": курс для начинающих","Тимур 🐍 Гуев, Поколение Python, Благотворительный фонд ""Айкью Опшн""","В курсе рассказывается об основных типах данных, конструкциях и принципах структурного программирования языка Python. Курс содержит теорию в формате текстовых конспектов и более 500 задач с автоматизированной проверкой. Этот курс является первой частью линейки курсов ""Поколение Python"".",5.0,1200000,https://cdn.stepik.net/media/cache/images/courses/58852/cover_ZP5DuRM/4951fdb332a542d0a2fe70692976e557.png,https://stepik.org/course/58852?search=7087465321,Языки программирования
Основы SQL,Shultais Education,Курс по основам SQL на Stepik (с поддержкой). Более 4-х часов видео и 260 практических задач на SQL тренажере из реальной практики. Обучение SQL на примере MySQL — одной из самых популярных баз данных,5.0,5700,https://cdn.stepik.net/media/cache/images/courses/51562/cover_nTWQOca/32d2c63c1957c5dceebc248eab5b97d1.png,https://stepik.org/course/51562?search=7087465322,Языки программирования
"Добрый, добрый Django + Docker с Сергеем Балакиревым",Сергей Балакирев,Этот курс позволит вам сделать первые шаги в изучении современного и популярного фреймворка Django для разработки серверной части сайта (бэкенда) на языке Python. Здесь вы шаг за шагом изучите основные компоненты фреймворка и создадите свой собственный полноценный и профессиональный сайт.,4.9,3300,https://cdn.stepik.net/media/cache/images/courses/183363/cover_BMhEh8W/334fc33eadf1e115fd032e87fad919df.jpg,https://stepik.org/course/183363?search=7087465323,Языки программирования
"Добрый, добрый Python ООП - обучающий курс от Сергея Балакирева",Сергей Балакирев,"Начните увлекательное путешествие в мир объектно-ориентированного программирования (ООП) на языке Python! Здесь вы сможете с нуля, с самого начала постичь магию объектно-ориентированного программирования. Увидите, как концепция классов и объектов позволяет заметно упрощать структуру программ, делать их более модульными и легко расширяемыми. Не удивительно, что сейчас каждый… Ещё",4.9,15200,https://cdn.stepik.net/media/cache/images/courses/116336/cover_SGPWd59/4f9a795133e54f9e15f96ab6144992b0.png,https://stepik.org/course/116336?search=7087465324,Языки программирования
Python Advanced: от ООП до многопроцессности,"Сергей Балакирев, Александр Шибаев","Освойте мощные инструменты Python для создания высокопроизводительных приложений! Эта программа охватывает ключевые аспекты продвинутой разработки: от объектно-ориентированного программирования и структур данных до многопоточности и параллельных вычислений. Вы научитесь эффективно использовать ресурсы процессора, писать быстрый и масштабируемый код и разрабатывать сложные… Ещё",,60,https://cdn.stepik.net/media/cache/images/courses/232642/cover_hgcwP6V/319e31fc334d3cb441fc37c3b9a9478e.jpeg,https://stepik.org/course/232642?search=7087465325,Языки программирования
SQL с нуля до PRO,Shultais Education,"Полный курс по SQL из трёх частей: основы SQL с нуля, проектирование баз данных, и продвинутый SQL. Обучение SQL с нуля до профи с практикой на тренажере и поддержкой преподавателя на всех этапах.",4.9,3600,https://cdn.stepik.net/media/cache/images/courses/61247/cover_FPUkp0h/49e872272edd6cfe95ff9f5aaf6e0e70.png,https://stepik.org/course/61247?search=7087465326,Языки программирования
Продвинутый SQL,Shultais Education,"Оконные функции, транзакции, хранимые процедуры и другие продвинутые возможности SQL и баз данных. Познакомитесь с аналитикой SQL и научитесь писать сложные запросы с использованием оконных функций в MySQL.",4.8,4700,https://cdn.stepik.net/media/cache/images/courses/55776/cover_eEyK9xX/fcf6831201233dbbfb64cbf49b0a8f8f.png,https://stepik.org/course/55776?search=7087465327,Языки программирования
Асинхронный Python,Павел Хошев,"Курс победитель 🏆Stepik Awards 2023 в номинации ""Лучший платный курс"". Курс содержит всё, что вам нужно знать о асинхронном Python, от основ до продвинутых тем. Вы получите доступ к обширному набору материалов и задач, которые постоянно обновляются и дополняются, чтобы оставаться актуальными и полезными. Не упустите свой шанс стать частью нашего сообщества. Запишитесь на… Ещё",4.7,3400,https://cdn.stepik.net/media/cache/images/courses/170777/cover_ZYF4nTL/abf98638cdc0fbee16f8f882932707e7.png,https://stepik.org/course/170777?search=7087465328,Языки программирования
Полный курс Python для начинающих,Shultais Education,"Полный курс Python для начинающих с задачами. Обучение языку Python по коротким видео-урокам с большим количеством практики на тренажере. На курсе вы познакомитесь не только с основами языка, но и научитесь программировать. На курсе рассматривается Python 3 (третье поколение Python).",4.6,832,https://cdn.stepik.net/media/cache/images/courses/52054/cover_Qdb3CcS/a25595e6fd9dd8885c8269a6ad4b80b9.png,https://stepik.org/course/52054?search=7087465329,Языки программирования
Объектно-ориентированное программирование на Java,Оксана Еськова,"Окунитесь в мир объектно-ориентированного программирования! Научитесь создавать и использовать классы, разберитесь с принципами ООП и их реализацией в Java, изучите паттерны проектирования приложений. Если Вы новичок в ООП и к тому же изучаете Java – этот курс для Вас!",5.0,604,https://cdn.stepik.net/media/cache/images/courses/133183/cover_aY3lzju/22e19f47d357359f39954eedc192221e.png,https://stepik.org/course/133183?search=7087465330,Языки программирования
Многопоточность в Python. Multithreading,Александр Шибаев,"Все о многопоточном программировании на Python в теории и на практике от А до Я. Применение потоков, работа с пулом потоков, курс полностью раскрывает тему поточной многозадачности. 🏆 Курс от лауреата премии Stepik Awards 2024 в номинации ""Лучший платный курс"".",5.0,1600,https://cdn.stepik.net/media/cache/images/courses/172356/cover_Uk9Di5a/f96dfac1251cda3596da0893d6759f9a.png,https://stepik.org/course/172356?search=7087465331,Языки программирования
Многопроцессорный Python,Павел Хошев,"Курс проведёт вас от основ до эксперта в многопроцессорном программировании. Курс от двукратного лауреата премии🏆Stepik Awards 2022 и 2023 в престижных номинациях: 🥇""Прорыв Года"" и 🥇""Лучший платный курс"". Курс содержит все что вам нужно знать о многопроцессном и многопроцессорном коде.",4.9,592,https://cdn.stepik.net/media/cache/images/courses/190099/cover_7S4AT3m/ae45f223e7def58bde9ed8f0c389aa2f.png,https://stepik.org/course/190099?search=7087465332,Языки программирования
PRO Go. Алгоритмы и структуры данных,"PRO Go, Иосиф Дзеранов, Копченин Михаил",Сможете оценивать программный код и находить способы его оптимизации и ускорения. Начнете уверенно себя чувствовать при прохождении технических собеседований в любые IT-компании мира.,5.0,76,https://cdn.stepik.net/media/cache/images/courses/201825/cover_oWEyxEM/602a0b503fbec2e6d75d2796c535b9dd.png,https://stepik.org/course/201825?search=7087465333,Языки программирования
Jetpack Compose полный курс,Андрей Сумин,Создаем мобильный клиент VK для отображения ленты новостей с применением самого современного подхода к построению UI - Jetpack Compose.,5.0,2100,https://cdn.stepik.net/media/cache/images/courses/125685/cover_E9xNoff/eaa30e41884039eab7559f1f99c418f3.png,https://stepik.org/course/125685?search=7087465334,Языки программирования
Проектирование архитектуры и интеграций сервисов (с проверкой),Глеб Учитель,"Вы отработаете на практике проектирование архитектуры веб-сервиса и интеграций с нуля. Соберёте требования (ФТ и НФТ), решите архитектурные вопросы (стиль, база данных, масштабирование), настроите межсервисные взаимодействия API (от gRPC и REST, до WS и Webhook) или брокеры сообщений (Kafka / MQ), задокументируете их в Swagger и опишите инфраструктуру вашего проекта. Поддержка… Ещё",5.0,267,https://cdn.stepik.net/media/cache/images/courses/170591/cover_2aoOxTo/7731cd9bfee9db27c4e5168c31a8855b.PNG,https://stepik.org/course/176504?search=7087465335,Языки программирования
PRO Go. Базовый курс по структурам данных,"PRO Go, Иосиф Дзеранов, Копченин Михаил","Разбираются основные структуры: массив, список, стек, очередь, множество, ассоциативный массив. Начнете уверенно себя чувствовать при прохождении технических собеседований в любые IT-компании мира.",5.0,126,https://cdn.stepik.net/media/cache/images/courses/187922/cover_oBsSQ2P/aca2c61b64d70770d42b5ad32cabae61.png,https://stepik.org/course/187922?search=7087465336,Языки программирования
WEB Парсинг на Python,Павел Хошев,"Курс победитель🥇Stepik Awards 2022 в номинации ""Прорыв года"" Практический курс синхронного и асинхронного веб-парсинга на Python, потренируетесь собирать информацию c веб-cайтов и Telegram чатов, а в модуле Selenium научитесь автоматизировать действия в браузере, и обходить captcha. Не упустите свой шанс стать частью нашего сообщества. Запишитесь на курс уже сегодня и… Ещё",4.9,4600,https://cdn.stepik.net/media/cache/images/courses/104774/cover_M71gobG/6ece473b92aa72322e569df4340cde0d.png,https://stepik.org/course/104774?search=7087465337,Языки программирования
Самый полный курс по JavaScript для начинающих программистов,IT Guru,"🏅 В числе лучших курсов 2023 года и в топе бестселлеров 2024 года! Самый полный курс по JavaScript для начинающих программистов на платформе Stepik! Этот курс идеально подходит для программистов, которые хотят изучить основы языка программирования JavaScript. В ходе курса вы узнаете основные концепции языка, включая переменные, типы данных, условные конструкции, циклы,… Ещё",4.8,1600,https://cdn.stepik.net/media/cache/images/courses/134850/cover_wDp2pWN/00c3e2106be1132d701f847ac7d501bc.jpg,https://stepik.org/course/134850?search=7087465338,Языки программирования
Многопроцессность в Python. Multiprocessing,Александр Шибаев,"Все о многопроцессном программировании на Python в теории и на практике от А до Я. Создание и управление процессами, работа с пулом процессов, межпроцессное взаимодействие. Курс полностью раскрывает тему процессной многозадачности. Победитель 🏆 Stepik Awards 2024 в номинации ""Лучший платный курс"".",4.8,643,https://cdn.stepik.net/media/cache/images/courses/188951/cover_Tg3RWiN/418187142a7d365fd874b767ea53c647.png,https://stepik.org/course/188951?search=7087465339,Языки программирования
Алгоритмы на Python,Shultais Education,Алгоритмы и структуры данных на языке Python. Погружаемся в серьезное программирование алгоритмов и решаем сложные задачи.,5.0,362,https://cdn.stepik.net/media/cache/images/courses/57382/cover_rN2QW9u/c1d66781527728c841ed0ea234007674.png,https://stepik.org/course/57382?search=7087465340,Языки программирования
Django REST Framework (DRF) для начинающих,Илья Перминов,"Этот курс предназначен для разработчиков, желающих освоить создание высокопроизводительных и масштабируемых REST API с использованием мощного фреймворка Django REST Framework (DRF). Вы пройдете путь от базовых концепций API до реализации сложного проекта интернет-магазина и изучения продвинутых техник DRF. Внимание, данный курс не содержит ни минуты видео!",5.0,197,https://cdn.stepik.net/media/cache/images/courses/179999/cover_0LVbFDM/c34d3fc792bb4e2c498c26e379eec8cf.png,https://stepik.org/course/179999?search=7087465341,Языки программирования
Оконные функции SQL,Антон Жиянов,Как делать классные аналитические отчеты без участия Excel. Осваиваем «окошки» в картинках и на практике.,5.0,4000,https://cdn.stepik.net/media/cache/images/courses/95367/cover_JqKIgvV/161522d37d60a09d20fe38259d1577b6.png,https://stepik.org/course/95367?search=7087465342,Языки программирования
SQL для Анализа Данных с Глебом Михайловым,Глеб Михайлов,Курс по SQL для аналитиков и дата саентистов. Ничего лишнего – только то что нужно в реальной работе. Усиль свой SQL! Суммарно на Stepik и Udemy у этого курса уже 2.8+ продаж и прекрасные отзывы!,5.0,2200,https://cdn.stepik.net/media/cache/images/courses/116332/cover_f3Lm49M/3799a95c78aa0808682b9ec3da2f7b62.png,https://stepik.org/course/116332?search=7087465343,Языки программирования
Многопоточный Python,Павел Хошев,"Курс от двукратного лауреата премии🏆Stepik Awards 2022 и 2023 в престижных номинациях: 🥇""Прорыв Года"" и 🥇""Лучший платный курс"". Курс содержит всё что вам необходимо знать о многопоточности, от простых до продвинутых тем. Запишитесь сегодня, чтобы уже завтра начать использовать многопоточность в своих приложениях.",4.8,1400,https://cdn.stepik.net/media/cache/images/courses/190100/cover_QyfEedX/15bca0ae59c581af793173b28135eb07.png,https://stepik.org/course/190100?search=7087465344,Языки программирования
Самый полный курс по JavaScript для опытных программистов,IT Guru,"Этот курс представляет следующий этап вашего путешествия в мире разработки приложений на JavaScript. Если вы владеете основами и стремитесь глубже освоить продвинутые концепции и методы, то этот курс именно для вас. Обширные практические задания позволят вам закрепить и применить знания на практике. Вы также столкнетесь с разнообразными тестовыми и классическими задачами,… Ещё",4.5,566,https://cdn.stepik.net/media/cache/images/courses/177315/cover_9awCv0P/df7a9e68d145a0e538e83ac4d50f60d3.jpg,https://stepik.org/course/177315?search=7087465345,Языки программирования
PRO Go. Алгоритмы поиска и сортировки,"PRO Go, Иосиф Дзеранов, Копченин Михаил",Сможете оценивать программный код и находить способы его оптимизации и ускорения. Курс формирует базовые знания в работе с алгоритмами поиска и сортировки данных. Примеры алгоритмов даны на языке программирования Go.,4.8,127,https://cdn.stepik.net/media/cache/images/courses/187420/cover_RDRBCOG/7c738e738cf624981b947774cd4d167e.png,https://stepik.org/course/187420?search=7087465346,Языки программирования
Введение в SQL. Продолжение,Ирина Selectовна,"Продолжите изучение SQL с Ириной Selectовной! На курсе Вы освоите соединения и объединения таблиц, встроенные функции, работу с NULL и оконные функции. Углубите свои знания и навыки SQL для эффективного управления базами данных.",5.0,488,https://cdn.stepik.net/media/cache/images/courses/198641/cover_Q9KqjO2/fd0a1cd3b3ff28867388125d3d199727.png,https://stepik.org/course/198641?search=7087465347,Языки программирования
Тестирование REST API в Postman - легкий старт в автоматизацию,Давид Согоян,"🏆Победитель Stepik Awards 2023 в номинации ""Прорыв года"". Курс для тех, кто хочет много практики в ручном и автоматизированном тестировании API. Тест-кейсы, баг-репорты, тестирование по Swagger на сервере с логикой, все как на реальном проекте. Сложные вопросы на собеседовании, основы JavaScript для автотестов, вся теория на человеческом языке, собрана в одном курсе.",5.0,2800,https://cdn.stepik.net/media/cache/images/courses/131052/cover_G6VaU7f/8f30f937335d6b41f8e1ab9e0569a1ef.jpg,https://stepik.org/course/131052?search=7087465348,Языки программирования
PRO Kotlin. Курс для продвинутых,"PRO Kotlin, Иосиф Дзеранов, Батраз Дзампаев","Курс дает полное представление, что из себя представляет язык Kotlin. Знания, которые есть в курсе, необходимы для работы Junior Kotlin разработчика.",5.0,65,https://cdn.stepik.net/media/cache/images/courses/154096/cover_LOGEM4B/5a9b962caa4a946a3d23bdfd49e0480a.png,https://stepik.org/course/154096?search=7087465349,Языки программирования
PRO C#. Создание Telegram бота,"Иосиф Дзеранов, PRO C#","Создадим телеграмм бота с любой логикой. Напишем бота с чистой и гибкой архитектурой, напишем тесты и опубликуем.",5.0,45,https://cdn.stepik.net/media/cache/images/courses/205788/cover_0BeO5su/3c2aec7acbfd09b4ea6a8d22024b3d80.png,https://stepik.org/course/205788?search=7087465350,Языки программирования
Прокачай Java,Оксана Еськова,"Продвинутый курс по Java: потоки ввода-вывода, коллекции, многопоточность, даты и время, регулярные выражения, лямбда-выражения и Streams. Все, что Вы хотели узнать про Java и не стеснялись спрашивать...",5.0,237,https://cdn.stepik.net/media/cache/images/courses/193674/cover_JeJJUEF/7d17352c6b876feaceb50faa8ed15eee.png,https://stepik.org/course/193674?search=7087465351,Языки программирования
