id,пол,возраст,предпочтение,пройденные_курсы,количество_курсов,оценка
1,Ж,26,Математика,"""Поколение Python"": курс для начинающих",9,9
1,Ж,26,Математика,"Дроби - 2в1 (Математика, 5 класс)",9,10
1,Ж,26,Математика,Практикум по математике и Python,9,9
1,Ж,26,Математика,ЕГЭ по математике 2025: первая часть,9,1
1,Ж,26,Математика,АА - Активный Английский от Екатерины Зак для продолжающих (А2),9,9
1,Ж,26,Математика,ЕГЭ по математике: задача с параметром,9,9
1,Ж,26,Математика,ЕГЭ по математике 2025: уравнения,9,10
1,Ж,26,Математика,Старт карьеры в IT. Front-end разработчик сайтов с нуля.,9,10
1,Ж,26,Математика,Дополненная реальность в Unity,9,5
2,Ж,23,Разработка игр,Основы Unity 2D,17,10
2,Ж,23,Разработка игр,Unity Базовый курс 3D,17,10
2,Ж,23,Разработка игр,Unity. Знакомство с движком,17,1
2,Ж,23,Разработка игр,Введение в Unity,17,2
2,Ж,23,Разработка игр,ProgMine. Большой курс по программированию на Python в Minecraft,17,10
2,Ж,23,Разработка игр,Python : от основ до подготовки к ОГЭ и создания игр,17,10
2,Ж,23,Разработка игр,Создание визуальной новеллы на Android в RenPy,17,6
2,Ж,23,Разработка игр,Элементарное программирование,17,7
2,Ж,23,Разработка игр,Гейм-дизайн,17,10
2,Ж,23,Разработка игр,Python Smart Skills,17,5
2,Ж,23,Разработка игр,Основы программирования на системе Blueprints в Unreal Engine 5,17,10
2,Ж,23,Разработка игр,Разработчик 2D и 3D игр на игровом движке Unity с нуля до про.,17,10
2,Ж,23,Разработка игр,Создание игр на Unreal Engine,17,10
2,Ж,23,Разработка игр,ЕГЭ по математике: планиметрия,17,10
2,Ж,23,Разработка игр,ЕГЭ Математика Профиль | 2023-2024 учебный год,17,10
2,Ж,23,Разработка игр,Реклама авторского канала в Телеграме,17,10
2,Ж,23,Разработка игр,Фундаментальные основы теории маркетинга,17,10
3,Ж,28,Математика,АА - Активный Английский от Екатерины Зак для продолжающих (А2),14,9
3,Ж,28,Математика,"""Поколение Python"": курс для начинающих",14,10
3,Ж,28,Математика,ЕГЭ по математике 2025: первая часть,14,10
3,Ж,28,Математика,ЕГЭ по математике 2025: текстовая задача,14,1
3,Ж,28,Математика,Практикум по математике и Python,14,10
3,Ж,28,Математика,ЕГЭ по математике 2025: координатно-векторный метод,14,10
3,Ж,28,Математика,"ОГЭ математика на минимум - ""Лишь бы сдать...""",14,5
3,Ж,28,Математика,ЕГЭ по математике 2025: уравнения,14,10
3,Ж,28,Математика,ЕГЭ по математике 2025: экономическая задача,14,1
3,Ж,28,Математика,ЕГЭ математика ПРОФИЛЬНЫЙ УРОВЕНЬ 2024-2025,14,10
3,Ж,28,Математика,Математика для физики,14,1
3,Ж,28,Математика,PRO Kotlin. Курс для продвинутых,14,10
3,Ж,28,Математика,Маркетплейсы. Курс 9. Продвижение товаров на маркетплейсе.,14,9
3,Ж,28,Математика,Язык программирования С# | Программирование для детей Unity,14,10
4,М,31,Математика,ЕГЭ по математике 2025: первая часть,9,9
4,М,31,Математика,"""Поколение Python"": курс для начинающих",9,1
4,М,31,Математика,Практикум по математике и Python,9,10
4,М,31,Математика,ЕГЭ по математике 2025: экономическая задача,9,9
4,М,31,Математика,ЕГЭ по математике 2025: уравнения,9,4
4,М,31,Математика,ЕГЭ по математике 2025: координатно-векторный метод,9,10
4,М,31,Математика,Data Science с Глебом Михайловым,9,5
4,М,31,Математика,Настройка Яндекс Директ 2023: от Поиска и РСЯ до Товарных РК,9,10
4,М,31,Математика,Маркетплейсы. Курс 7. Работа в кабинете продавца Ozon.,9,10
5,Ж,42,Графический дизайн,Цифровая история искусства: новая реальность культуры,19,3
5,Ж,42,Графический дизайн,Дизайн инфографики и визуализации данных,19,2
5,Ж,42,Графический дизайн,Основы дизайна интерфейсов,19,7
5,Ж,42,Графический дизайн,Adobe Illustrator: первые шаги,19,1
5,Ж,42,Графический дизайн,Введение в дизайн,19,1
5,Ж,42,Графический дизайн,Рисунок в технике зентангл,19,10
5,Ж,42,Графический дизайн,Разработка дизайна полиграфической продукции,19,10
5,Ж,42,Графический дизайн,Прикладные исследования цвета,19,9
5,Ж,42,Графический дизайн,Учебник по UI-дизайну,19,3
5,Ж,42,Графический дизайн,Основы граф.дизайна,19,10
5,Ж,42,Графический дизайн,Adobe Illustrator: основы векторной графики,19,10
5,Ж,42,Графический дизайн,Практический курс по digital-дизайну от evilUnion,19,4
5,Ж,42,Графический дизайн,Цифровая обработка изображений в редакторе Photoshop,19,10
5,Ж,42,Графический дизайн,Основы компьютерного дизайна,19,10
5,Ж,42,Графический дизайн,Mини-курс по Adobe Photoshop,19,9
5,Ж,42,Графический дизайн,Курс начинающего математика,19,10
5,Ж,42,Графический дизайн,ЕГЭ по математике 2025 профильный: № 18 (задача с параметром),19,7
5,Ж,42,Графический дизайн,ЕГЭ по математике 2025: неравенства,19,8
5,Ж,42,Графический дизайн,ООП: Объектно-ориентированное программирование на Python,19,10
6,Ж,26,Разработка игр,Введение в Unity,9,8
6,Ж,26,Разработка игр,"НТО Junior 23-24. ОК ""Технологии и компьютерные игры""",9,10
6,Ж,26,Разработка игр,Уроки Unity 3D - Разработка игр | Занятия для детей,9,10
6,Ж,26,Разработка игр,Python : от основ до подготовки к ОГЭ и создания игр,9,10
